Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDX09,OUT010,867.25
FDH40,OUT019,-476.75
FDW58,OUT017,1811.25
FDC47,OUT017,3707.25
NCR41,OUT035,1627.25
DRG49,OUT035,3979.25
FDC52,OUT027,3939.25
FDY13,OUT046,1247.25
FDY35,OUT013,795.75
FDI35,OUT017,3011.25
NCU18,OUT049,2297.25
FDY33,OUT018,2269.25
FDC15,OUT027,3955.25
FDU01,OUT049,3097.25
NCU42,OUT046,2663.25
NCV29,OUT018,2481.25
NCY30,OUT017,2963.25
FDQ46,OUT049,1897.25
FDG58,OUT027,3939.25
FDK33,OUT017,3507.25
NCD07,OUT045,1753.5
NCX29,OUT027,3699.25
NCT42,OUT013,2323.75
DRN59,OUT035,891.25
FDI44,OUT035,1443.25
FDA45,OUT049,2905.25
FDP31,OUT045,1049.5
FDY01,OUT046,1895.25
FDT09,OUT018,1881.25
DRH03,OUT027,2947.25
FDA36,OUT018,2693.25
NCF31,OUT017,2507.25
FDG14,OUT049,2553.25
FDG28,OUT027,5379.25
FDU14,OUT049,4057.25
FDY47,OUT019,275.25
FDI56,OUT049,1561.25
DRD01,OUT013,939.75
FDM22,OUT046,975.25
FDH33,OUT013,715.75
DRZ24,OUT013,1859.75
NCQ38,OUT046,1663.25
FDO16,OUT027,2835.25
FDU07,OUT027,3843.25
NCB07,OUT013,3019.75
FDU48,OUT045,2073.5
NCM43,OUT045,2521.5
FDR31,OUT010,435.25
DRK49,OUT018,369.25
NCI30,OUT010,1883.25
DRD60,OUT017,2955.25
NCG19,OUT046,3663.25
FDH12,OUT035,1851.25
FDM32,OUT035,1651.25
FDM27,OUT035,2667.25
NCU53,OUT027,4035.25
NCQ18,OUT046,1551.25
FDS10,OUT013,2851.75
FDB33,OUT027,3971.25
FDI12,OUT013,1435.75
NCW42,OUT013,3443.75
NCC06,OUT018,1713.25
FDW02,OUT017,2187.25
NCD43,OUT017,1755.25
FDM57,OUT018,1097.25
FDA58,OUT017,3859.25
FDK56,OUT046,2951.25
FDP52,OUT045,3641.5
FDW20,OUT018,1705.25
FDS52,OUT049,1737.25
NCT29,OUT018,1573.25
NCL54,OUT013,2747.75
FDC05,OUT045,3129.5
FDF34,OUT035,3323.25
FDP03,OUT027,3491.25
FDD32,OUT010,-520.75
FDZ10,OUT045,1993.5
FDZ40,OUT035,1067.25
FDD51,OUT018,445.25
NCY30,OUT019,931.25
FDP58,OUT017,3563.25
FDV49,OUT017,4299.25
FDY24,OUT019,-972.75
NCO55,OUT017,1779.25
FDR13,OUT017,2043.25
FDS51,OUT017,1155.25
FDP26,OUT045,1633.5
NCB54,OUT027,3459.25
FDF32,OUT017,3243.25
FDN31,OUT018,2717.25
DRM48,OUT017,683.25
FDN20,OUT049,2793.25
DRL01,OUT046,3687.25
FDV56,OUT049,1865.25
DRH13,OUT027,3155.25
FDA03,OUT017,2483.25
FDF47,OUT027,4995.25
FDX32,OUT046,2391.25
FDX57,OUT049,1705.25
NCA30,OUT045,2905.5
FDO49,OUT013,883.75
FDL04,OUT019,-188.75
DRM48,OUT035,747.25
FDR16,OUT013,3403.75
NCC19,OUT018,2705.25
NCE42,OUT045,3617.5
FDY24,OUT017,1067.25
FDH19,OUT049,2889.25
FDJ46,OUT013,2771.75
FDN45,OUT010,1619.25
FDY08,OUT035,2419.25
FDZ37,OUT035,1611.25
NCT30,OUT045,689.5
DRY23,OUT018,409.25
NCZ30,OUT018,1613.25
FDC44,OUT018,1517.25
FDB45,OUT035,1851.25
FDY04,OUT013,2643.75
FDM27,OUT046,2575.25
FDZ43,OUT017,3971.25
FDT39,OUT019,595.25
NCC06,OUT019,107.25
FDL15,OUT027,3907.25
FDL57,OUT017,4219.25
FDU08,OUT046,1623.25
FDK40,OUT017,4299.25
FDQ12,OUT010,1715.25
FDS48,OUT017,2539.25
FDP09,OUT045,3321.5
FDW21,OUT049,1753.25
FDY25,OUT035,3043.25
DRE13,OUT017,1475.25
FDV43,OUT019,-1148.75
FDD22,OUT045,1753.5
FDM46,OUT019,-396.75
NCO30,OUT010,967.25
FDM25,OUT046,2823.25
NCN41,OUT049,2009.25
FDU24,OUT045,1497.5
FDZ50,OUT046,2975.25
FDP45,OUT013,4019.75
NCM54,OUT045,1913.5
FDW10,OUT019,915.25
FDP20,OUT017,2171.25
FDK32,OUT046,2471.25
FDN52,OUT049,1545.25
FDM58,OUT045,1777.5
FDZ46,OUT027,3235.25
NCA18,OUT018,1537.25
FDD35,OUT046,1983.25
NCK31,OUT035,939.25
FDI40,OUT027,3107.25
FDT50,OUT019,-260.75
NCT06,OUT046,2583.25
FDT31,OUT035,3147.25
FDT45,OUT049,985.25
FDT13,OUT045,2937.5
FDO50,OUT045,1425.5
NCU18,OUT010,271.25
NCR54,OUT049,3129.25
NCO18,OUT018,2489.25
FDU09,OUT045,929.5
FDT13,OUT018,2697.25
FDE09,OUT046,1839.25
NCK53,OUT019,-292.75
FDG45,OUT049,3481.25
DRH15,OUT035,867.25
FDO21,OUT019,1731.25
FDD14,OUT027,4371.25
FDC09,OUT046,1719.25
FDH45,OUT027,2227.25
FDV32,OUT046,1095.25
FDG12,OUT035,2123.25
FDS32,OUT013,2291.75
NCL55,OUT018,3617.25
DRE01,OUT035,3947.25
DRE15,OUT049,1321.25
NCL42,OUT045,3793.5
FDP31,OUT013,1083.75
FDN33,OUT018,1257.25
FDZ59,OUT046,2679.25
FDE45,OUT010,923.25
FDJ07,OUT013,1923.75
FDQ45,OUT018,2689.25
FDM33,OUT027,4915.25
FDO15,OUT010,-628.75
FDM46,OUT013,1491.75
FDR03,OUT045,3257.5
FDY49,OUT018,2405.25
FDQ60,OUT045,1897.5
FDW10,OUT049,2889.25
FDO51,OUT049,905.25
FDJ40,OUT018,1505.25
FDS20,OUT018,2613.25
FDU45,OUT013,1859.75
FDV02,OUT035,2859.25
FDN09,OUT046,3855.25
NCM55,OUT027,4355.25
FDN23,OUT018,2061.25
FDY31,OUT010,411.25
FDW03,OUT010,-148.75
FDD14,OUT046,2911.25
FDV23,OUT017,2131.25
DRI03,OUT045,2713.5
FDN13,OUT035,1747.25
FDF45,OUT027,2499.25
FDU46,OUT035,1627.25
FDB57,OUT049,3657.25
FDV12,OUT049,1737.25
FDQ58,OUT013,2427.75
NCA18,OUT017,1923.25
FDH52,OUT049,1161.25
FDM24,OUT018,2145.25
NCP43,OUT027,4275.25
NCO18,OUT019,883.25
FDM32,OUT017,1603.25
NCL07,OUT017,715.25
FDK03,OUT013,4043.75
FDP59,OUT017,1803.25
FDQ24,OUT049,4057.25
FDQ16,OUT018,1477.25
FDU44,OUT013,2611.75
FDH28,OUT010,-1232.75
FDV28,OUT019,-1244.75
FDM22,OUT045,889.5
FDR56,OUT046,3159.25
FDV39,OUT049,3225.25
FDU37,OUT019,-524.75
FDQ11,OUT010,2179.25
FDX02,OUT045,3497.5
NCS42,OUT018,1153.25
FDY57,OUT027,3027.25
FDB21,OUT049,3913.25
FDE28,OUT017,3779.25
FDQ55,OUT017,1987.25
FDA48,OUT049,3609.25
FDZ19,OUT045,2729.5
NCC43,OUT045,3881.5
NCV18,OUT046,1287.25
NCA42,OUT018,2193.25
FDY45,OUT046,4071.25
NCC30,OUT045,2737.5
FDM57,OUT013,1435.75
FDL09,OUT010,751.25
FDB09,OUT027,3459.25
FDT44,OUT035,2059.25
NCT06,OUT027,4003.25
FDX26,OUT049,3001.25
FDK32,OUT013,2491.75
DRA12,OUT046,2263.25
FDO46,OUT010,1119.25
FDE52,OUT013,1459.75
NCH42,OUT045,3545.5
FDV08,OUT035,883.25
FDB47,OUT018,3053.25
FDC28,OUT010,-132.75
FDD22,OUT046,1847.25
FDS07,OUT027,3299.25
DRI13,OUT045,3353.5
FDG32,OUT018,3221.25
FDU14,OUT017,4075.25
FDD28,OUT019,-892.75
NCP41,OUT017,1827.25
FDS08,OUT049,2889.25
FDX47,OUT045,2505.5
FDC53,OUT019,-228.75
FDQ19,OUT035,4019.25
FDL14,OUT045,2473.5
FDM33,OUT019,1627.25
FDA51,OUT045,1801.5
FDZ27,OUT018,541.25
FDT04,OUT046,719.25
DRC13,OUT049,2089.25
FDR16,OUT027,4883.25
FDQ03,OUT027,5219.25
FDE38,OUT035,2843.25
DRH23,OUT027,2339.25
FDT11,OUT019,1163.25
FDD09,OUT035,3019.25
FDR40,OUT045,1337.5
FDX07,OUT017,3075.25
FDR07,OUT035,1723.25
FDA51,OUT017,1979.25
FDT59,OUT019,1787.25
FDF20,OUT017,3219.25
FDR13,OUT045,1849.5
FDY26,OUT049,3465.25
FDW04,OUT017,2235.25
FDK52,OUT017,3707.25
FDN60,OUT049,2601.25
FDM09,OUT019,883.25
FDP46,OUT049,1529.25
FDB50,OUT019,-596.75
NCQ29,OUT049,4121.25
FDP16,OUT027,5331.25
FDX33,OUT018,2309.25
FDP07,OUT010,1183.25
FDN22,OUT046,4007.25
FDF39,OUT049,4265.25
FDS21,OUT017,1163.25
NCM42,OUT013,1683.75
FDK50,OUT019,747.25
DRF13,OUT027,3763.25
FDH35,OUT018,2321.25
FDP60,OUT018,1321.25
DRJ49,OUT027,3507.25
NCT42,OUT019,443.25
FDE38,OUT049,2777.25
FDI04,OUT049,3289.25
NCH54,OUT045,2409.5
FDT56,OUT049,1097.25
DRD15,OUT018,3341.25
FDV58,OUT013,3067.75
FDP21,OUT049,3113.25
FDH05,OUT013,3723.75
FDR10,OUT027,4035.25
NCP06,OUT045,2281.5
FDF33,OUT049,1833.25
DRK37,OUT013,2955.75
DRH49,OUT045,1281.5
FDT58,OUT013,2667.75
FDD41,OUT018,1433.25
FDP40,OUT018,1537.25
FDM51,OUT027,3139.25
FDO45,OUT010,-468.75
FDW33,OUT010,-208.75
FDY24,OUT045,889.5
FDB10,OUT010,1839.25
FDM40,OUT035,2411.25
NCI06,OUT017,2939.25
FDW12,OUT019,475.25
FDX48,OUT027,3971.25
NCW05,OUT027,3107.25
FDX27,OUT017,1683.25
DRM37,OUT045,3049.5
FDA38,OUT045,3785.5
FDR36,OUT046,735.25
FDZ45,OUT046,3175.25
FDG05,OUT017,2675.25
FDK28,OUT013,4091.75
FDV47,OUT045,1353.5
FDN21,OUT045,2505.5
FDP20,OUT027,3491.25
FDI35,OUT045,2841.5
DRY23,OUT013,731.75
FDA56,OUT017,2107.25
FDB09,OUT013,1979.75
NCO26,OUT027,3283.25
FDQ49,OUT018,2245.25
FDI52,OUT027,3411.25
FDZ44,OUT027,3347.25
FDZ09,OUT018,2321.25
FDY03,OUT049,1945.25
NCG42,OUT017,2139.25
DRI13,OUT027,4867.25
FDQ32,OUT013,2059.75
FDW16,OUT035,1675.25
FDU27,OUT046,831.25
FDR28,OUT010,723.25
FDQ49,OUT010,643.25
FDS37,OUT046,1895.25
FDW26,OUT018,3233.25
FDX12,OUT018,3561.25
NCP06,OUT013,2347.75
FDW45,OUT010,407.25
NCN30,OUT049,1577.25
FDN24,OUT049,969.25
NCL41,OUT027,1971.25
FDR02,OUT019,-92.75
FDD09,OUT010,967.25
FDS33,OUT010,-468.75
FDU22,OUT045,1873.5
FDI53,OUT013,2627.75
DRH01,OUT049,2841.25
FDX32,OUT013,2323.75
NCP30,OUT018,329.25
FDB60,OUT045,3065.5
FDB14,OUT049,1641.25
NCP02,OUT035,1067.25
FDJ10,OUT017,2395.25
FDG34,OUT046,1847.25
NCB18,OUT017,1483.25
FDM16,OUT049,1353.25
FDW25,OUT018,1093.25
FDB35,OUT010,-400.75
DRN11,OUT013,2235.75
FDF41,OUT019,2035.25
FDH16,OUT045,1385.5
NCQ50,OUT018,3017.25
DRH23,OUT018,597.25
DRJ37,OUT013,2387.75
DRJ24,OUT027,4339.25
FDY16,OUT035,3099.25
FDQ27,OUT045,1697.5
FDZ33,OUT045,2321.5
FDF29,OUT045,2105.5
FDA08,OUT049,2729.25
FDG31,OUT046,1103.25
FDE34,OUT019,1043.25
NCR30,OUT027,2595.25
FDV33,OUT035,4283.25
DRZ24,OUT018,1597.25
NCL54,OUT035,2851.25
FDR12,OUT049,2889.25
NCC54,OUT046,3775.25
DRN59,OUT013,731.75
FDX50,OUT019,-92.75
FDV31,OUT027,4291.25
NCA29,OUT027,4147.25
FDW60,OUT049,2953.25
FDX08,OUT017,3027.25
DRD49,OUT013,3683.75
FDD33,OUT046,3671.25
FDW35,OUT013,731.75
FDJ36,OUT017,1803.25
FDV51,OUT035,2811.25
FDW36,OUT046,1743.25
FDH35,OUT046,2647.25
NCS30,OUT027,3491.25
FDN49,OUT017,795.25
FDL08,OUT018,3605.25
FDI09,OUT013,3827.75
FDP19,OUT018,1769.25
FDU21,OUT010,-1308.75
NCP41,OUT045,1633.5
FDY10,OUT013,1819.75
FDP12,OUT018,377.25
NCN26,OUT049,1913.25
FDK44,OUT013,2771.75
FDC28,OUT049,1865.25
FDJ41,OUT027,5619.25
NCT29,OUT035,2075.25
NCH42,OUT019,1691.25
FDU60,OUT018,2405.25
FDS02,OUT045,3049.5
FDC51,OUT046,2047.25
FDU03,OUT013,2939.75
FDX39,OUT045,3345.5
NCY05,OUT010,-1348.75
NCL06,OUT027,5491.25
FDD32,OUT035,1499.25
NCN41,OUT045,1865.5
NCX53,OUT049,2297.25
FDU57,OUT019,555.25
FDQ23,OUT046,1711.25
FDQ52,OUT045,3881.5
FDC14,OUT045,681.5
FDY09,OUT035,2971.25
FDQ28,OUT045,2489.5
FDV25,OUT046,3527.25
FDJ07,OUT035,2043.25
DRB25,OUT049,1769.25
FDK52,OUT019,1691.25
FDY52,OUT027,2515.25
FDB28,OUT046,3159.25
FDT36,OUT035,779.25
FDV25,OUT017,3643.25
NCN07,OUT027,3491.25
FDC57,OUT017,3219.25
FDQ03,OUT018,3489.25
FDU23,OUT017,2787.25
NCX41,OUT035,3467.25
NCD06,OUT035,875.25
FDW08,OUT045,1657.5
NCU29,OUT017,2387.25
NCE06,OUT013,2507.75
FDV52,OUT010,-4.75
FDB02,OUT017,2971.25
NCR18,OUT045,625.5
FDK16,OUT049,1625.25
NCQ29,OUT010,2091.25
FDZ01,OUT019,-140.75
FDW27,OUT035,2683.25
FDD17,OUT018,3481.25
FDW39,OUT013,2859.75
DRH59,OUT045,1097.5
FDS52,OUT013,1659.75
FDU40,OUT027,4563.25
NCF54,OUT013,2707.75
FDH46,OUT045,1657.5
NCP14,OUT049,1705.25
FDH50,OUT049,3065.25
DRF15,OUT010,487.25
FDV27,OUT027,2915.25
NCJ06,OUT049,1961.25
FDN02,OUT018,2965.25
FDQ51,OUT049,921.25
FDQ07,OUT017,3675.25
FDS45,OUT049,1849.25
NCJ06,OUT045,1833.5
FDD36,OUT035,2051.25
FDY25,OUT045,2857.5
FDU52,OUT046,2495.25
DRK47,OUT017,3667.25
NCL30,OUT017,2115.25
FDN22,OUT035,4155.25
NCF30,OUT027,3411.25
FDK03,OUT035,4235.25
FDT45,OUT017,1035.25
NCC54,OUT027,5171.25
FDP08,OUT018,2837.25
FDU44,OUT046,2663.25
DRG39,OUT035,1003.25
FDU32,OUT049,2073.25
FDY27,OUT049,2953.25
NCP54,OUT013,1923.75
NCZ41,OUT049,2057.25
DRL49,OUT013,2251.75
FDI05,OUT018,989.25
FDY56,OUT045,3577.5
DRC13,OUT013,2011.75
NCV29,OUT017,2923.25
FDR24,OUT049,1577.25
FDZ34,OUT018,2753.25
FDP37,OUT035,2171.25
FDX08,OUT027,4339.25
FDS57,OUT045,2209.5
NCG18,OUT049,1689.25
FDK25,OUT018,2421.25
FDH53,OUT049,1465.25
DRI59,OUT018,3201.25
FDA52,OUT046,2863.25
FDT20,OUT010,-1252.75
FDE36,OUT019,763.25
FDI24,OUT017,2899.25
FDB28,OUT018,2873.25
FDV11,OUT017,2971.25
FDP01,OUT046,2511.25
FDD34,OUT027,4035.25
FDJ50,OUT027,2339.25
FDZ44,OUT013,1915.75
DRO59,OUT035,1355.25
DRB48,OUT045,617.5
FDR21,OUT018,2497.25
NCE42,OUT010,1743.25
FDO23,OUT046,1519.25
NCE30,OUT018,3005.25
FDQ22,OUT035,811.25
FDY01,OUT045,1833.5
FDS08,OUT017,2955.25
FDG28,OUT018,3649.25
FDQ51,OUT018,565.25
FDB05,OUT017,4059.25
FDO56,OUT049,2009.25
FDE02,OUT018,1197.25
FDN45,OUT017,3643.25
FDS09,OUT013,867.75
NCA54,OUT018,2533.25
FDP09,OUT010,1459.25
FDC53,OUT045,1569.5
NCM55,OUT017,3019.25
FDL09,OUT018,2425.25
FDA11,OUT019,-348.75
FDA50,OUT045,1481.5
FDC23,OUT017,2971.25
FDE22,OUT049,2633.25
FDD23,OUT046,3031.25
NCA29,OUT049,2793.25
FDK38,OUT046,2375.25
DRC13,OUT046,1975.25
NCP43,OUT049,2889.25
FDX28,OUT049,1705.25
FDF08,OUT049,1593.25
FDZ33,OUT046,2399.25
FDD10,OUT049,2969.25
FDO58,OUT017,2707.25
FDI50,OUT017,3803.25
FDO58,OUT045,2593.5
FDX08,OUT013,2891.75
NCK17,OUT010,-1276.75
FDF39,OUT035,4339.25
FDU45,OUT010,-72.75
NCJ18,OUT018,1525.25
DRC27,OUT019,1979.25
DRC25,OUT035,1507.25
FDU59,OUT035,2715.25
FDU28,OUT035,3195.25
NCP30,OUT046,655.25
FDB39,OUT018,637.25
FDE41,OUT013,1451.75
DRH11,OUT010,-1028.75
FDA58,OUT045,3681.5
FDU50,OUT046,1911.25
FDM34,OUT013,2083.75
FDM44,OUT027,3107.25
FDR39,OUT045,2873.5
FDM25,OUT045,2785.5
FDQ49,OUT049,2633.25
DRH25,OUT018,545.25
FDM09,OUT027,4211.25
FDL44,OUT019,715.25
NCR42,OUT018,221.25
DRL59,OUT046,863.25
FDX43,OUT013,2691.75
DRK47,OUT010,1623.25
FDU48,OUT018,1821.25
FDY12,OUT045,825.5
NCN43,OUT018,1625.25
NCM55,OUT018,2573.25
FDQ21,OUT027,3443.25
FDX13,OUT035,4131.25
NCK30,OUT027,5395.25
FDG20,OUT049,2921.25
DRG27,OUT017,755.25
FDY14,OUT018,3885.25
FDP59,OUT035,1851.25
FDU60,OUT017,2843.25
NCC18,OUT019,771.25
DRJ39,OUT017,3531.25
FDS07,OUT049,1913.25
FDM08,OUT027,5011.25
FDP51,OUT045,1921.5
FDU16,OUT035,1531.25
FDH12,OUT013,1723.75
DRE48,OUT010,1159.25
NCL42,OUT027,5251.25
FDR21,OUT045,2777.5
NCW29,OUT035,2203.25
FDO11,OUT013,4011.75
NCM31,OUT049,2297.25
FDV35,OUT019,595.25
FDF58,OUT017,1147.25
NCE43,OUT049,2713.25
FDA02,OUT035,2499.25
DRL37,OUT010,-1212.75
FDR24,OUT018,1225.25
FDW59,OUT049,1449.25
FDS22,OUT049,905.25
FDW24,OUT017,963.25
FDU24,OUT035,1723.25
FDA21,OUT027,4419.25
FDH58,OUT027,3347.25
FDW36,OUT018,1393.25
FDI45,OUT027,4211.25
FDU01,OUT018,2705.25
FDF35,OUT027,3203.25
FDU43,OUT019,1923.25
FDE24,OUT019,427.25
FDK50,OUT049,2697.25
FDG31,OUT045,1001.5
FDC60,OUT045,1449.5
FDL36,OUT013,1467.75
FDP21,OUT013,3067.75
FDW16,OUT045,1465.5
FDX02,OUT017,3675.25
FDQ58,OUT027,3923.25
FDT51,OUT046,1847.25
FDD59,OUT049,1433.25
NCM42,OUT018,1417.25
FDA57,OUT018,401.25
FDZ48,OUT035,1963.25
FDE46,OUT045,2393.5
NCZ30,OUT019,19.25
FDB56,OUT017,3147.25
FDA25,OUT027,3187.25
FDD20,OUT013,2019.75
FDL25,OUT013,1539.75
NCO18,OUT049,2857.25
FDJ45,OUT017,715.25
FDR12,OUT035,2907.25
NCF19,OUT010,-1176.75
FDK25,OUT046,2695.25
NCR17,OUT046,1799.25
FDC52,OUT046,2495.25
NCA54,OUT017,2939.25
FDR45,OUT010,1879.25
NCM19,OUT049,1865.25
FDF39,OUT027,5667.25
FDX23,OUT049,1673.25
FDD58,OUT027,3075.25
FDX28,OUT013,1627.75
NCD31,OUT013,2539.75
FDU57,OUT018,2153.25
FDI27,OUT046,831.25
NCM42,OUT046,1711.25
FDD32,OUT027,2819.25
FDI34,OUT013,3667.75
NCM29,OUT049,2121.25
